dt,Celsius,State,AverageTemperature
19000111,10.478,Arkansas,50.8604
19000111,11.419,California,52.5542
19000111,1.793,Colorado,35.2274
19000111,6.634,Connecticut,43.9412
19000111,9.551,Delaware,49.1918
19000111,8.391,District Of Columbia,47.1038
19000111,18.59,Florida,65.462
19000111,13.256,Georgia ,55.8608
19000111,22.318,Hawaii,72.1724
19000111,0.51,Idaho,32.918
19000111,4.703,Illinois,40.4654
19000111,5.185,Indiana,41.333
19000111,0.547,Iowa,32.9846
19000111,5.047,Kansas,41.0846
19000111,7.513,Kentucky,45.5234
19000111,15.062,Louisiana,59.1116
19000111,0.837,Maine,33.5066
19000111,9.045,Maryland,48.281
19000111,4.569,Massachusetts,40.2242
19000111,1.21,Michigan,34.178
19000111,4.467,Minnesota,40.0406
19000111,13.008,Mississippi,55.4144
19000111,6.148,Missouri,43.0664
19000111,3.276,Montana,37.8968
19000111,1.34,Nebraska,34.412
19000111,5.243,Nevada,41.4374
19000111,2.115,New Hampshire,35.807
19000111,7.827,New Jersey,46.0886
19000111,6.765,New Mexico,44.177
19000111,3.397,New York,38.1146
19000111,11.094,North Carolina,51.9692
19000111,6.361,North Dakota,43.4498
19000111,5.068,Ohio,41.1224
19000111,9.573,Oklahoma,49.2314
19000111,3.9,Oregon,39.02
19000111,5.303,Pennsylvania,41.5454
19000111,6.646,Rhode Island,43.9628
19000111,13.143,South Carolina,55.6574
19000111,1.908,South Dakota,35.4344
19000111,8.92,Tennessee,48.056
19000111,13.254,Texas,55.8572
19000111,3.767,Utah,38.7806
19000111,1.716,Vermont,35.0888
19000111,9.105,Virginia,48.389
19000111,1.292,Washington,34.3256
19000111,6.601,West Virginia,43.8818
19000111,1.733,Wisconsin,35.1194
19000111,0.556,Wyoming,33.0008
19000112,7.733,Alabama,45.9194
19000112,18.507,Alaska,65.3126
19000112,5.769,Arizona,42.3842
19000112,6.048,Arkansas,42.8864
19000112,6.979,California,44.5622
19000112,2.922,Colorado,37.2596
19000112,0.522,Connecticut,32.9396
19000112,1.877,Delaware,35.3786
19000112,0.955,District Of Columbia,33.719
19000112,15.415,Florida,59.747
19000112,8.276,Georgia ,46.8968
19000112,21.122,Hawaii,70.0196
19000112,2.78,Idaho,37.004
19000112,0.395,Illinois,32.711
19000112,0.293,Indiana,32.5274
19000112,3.232,Iowa,37.8176
19000112,1.229,Kansas,34.2122
19000112,2.594,Kentucky,36.6692
19000112,10.346,Louisiana,50.6228
19000112,8.091,Maine,46.5638
19000112,1.639,Maryland,34.9502
19000112,2.772,Massachusetts,36.9896
19000112,3.475,Michigan,38.255
19000112,8.528,Minnesota,47.3504
19000112,8.461,Mississippi,47.2298
19000112,1.571,Missouri,34.8278
19000112,2.289,Montana,36.1202
19000112,0.71,Nebraska,33.278
19000112,0.742,Nevada,33.3356
19000112,6.373,New Hampshire,43.4714
19000112,0.102,New Jersey,32.1836
19000112,1.655,New Mexico,34.979
19000112,4.138,New York,39.4484
19000112,4.958,North Carolina,40.9244
19000112,7.667,North Dakota,45.8006
19000112,0.746,Ohio,33.3428
19000112,5,Oklahoma,41
19000112,2.401,Oregon,36.3218
19000112,1.665,Pennsylvania,34.997
19000112,0.483,Rhode Island,32.8694
19000112,7.365,South Carolina,45.257
19000112,3.17,South Dakota,37.706
19000112,4.248,Tennessee,39.6464
19000112,8.271,Texas,46.8878
19000112,1.434,Utah,34.5812
19000112,6.768,Vermont,44.1824
19000112,2.568,Virginia,36.6224
19000112,2.166,Washington,35.8988
19000112,0.42,West Virginia,32.756
19000112,5.756,Wisconsin,42.3608
19000112,3.122,Wyoming,37.6196
